"author","n","aff"
"GrasVincendon A",1,"none"
"Gray M",1,"none"
"Green J",1,"WPATH SOC8"
"Green S E",1,"WPATH SOC8"
"Gribble K D",2,"none"
"Griffin L",1,"none"
"Grignon P",1,"SEGM-funded"
"Grijseels D M",1,"none"
"GronostajMiara A",1,"none"
"Gronroos M",1,"none"
"Grossman A H",2,"none"
"Grossman M",1,"none"
"Group GIIG T G I I",1,"none"
"Grover S",1,"none"
"GrütersKieslich A",1,"none"
"Guerin E",1,"none"
"Gülpinar K",1,"none"
"Güngör Ö",1,"none"
"Guppy F M",1,"none"
"Gupta A",2,"none"
"Gupta P",1,"none"
"Gutvilig M",1,"none"
"Guyatt G",3,"SEGM-funded"
"Hackett T",1,"none"
"Hahn A",1,"none"
"Hakulinen C",1,"none"
"Halasz G",1,"none"
"Haley C",1,"none"
"Hall B P",1,"WPATH SOC8"
"Hall R",9,"none"
"Hamilton B",1,"none"
"Hamnvik O",1,"none"
"Hancock A B",1,"WPATH SOC8"
"Hankey M S",1,"none"
"Hannema S E",13,"none"
"Hansen B H",1,"none"
"Hansen J E",1,"none"
"Hanson C",1,"none"
"Haque M",1,"none"
"Haraldsen I",1,"none"
"Hardy T L D",1,"WPATH SOC8"
"Harper G W",1,"none"
"Harrison S I",1,"none"
"Hartland J",1,"none"
"Hartmann A",1,"none"
"Haslam D M",1,"none"
"Hataiyusuk S",1,"none"
"Haugan G",1,"none"
"Haugen P",1,"none"
"Haw J S",1,"none"
"Hawthorn R",1,"none"
"Hawthorne O",1,"none"
"Hazen A",1,"none"
"He J",1,"none"
"Heath R",1,"none"
"Heathcote C",5,"none"
"Heijboer A C",2,"none"
"Hein I M",1,"none"
"Heino E",1,"none"
"Hellinga I",1,"none"
"Helyar S",2,"none"
"Hembree W C",1,"none"
"Hermans E J",1,"none"
"Hernandez A E",1,"none"
"Herrmann L",1,"none"
"Hewitt C E",8,"none"
"Heyse R",1,"none"
"Hidalgo M A",3,"none"
"Higgins D J",1,"none"
"Hiitola J",1,"none"
"Hill A",1,"none"
"Hillekens J",1,"none"
"Hilliard Krause L M",1,"none"
"HincapieCastillo J M",1,"none"
"Hines M",1,"none"
"HisleGorman E",1,"none"
"Hobaica S",2,"none"
"Hobbs J N",2,"none"
"Hocking J J",1,"none"
"Hoekstra C",1,"none"
"Hofman D",1,"none"
"Hohmann S",1,"none"
"Höistad M",1,"none"
"Holi M",1,"none"
"Holm S",1,"none"
"Holmberg M",1,"none"
"Holst J J",1,"none"
